annex_a,quota_period,line,label,category,value,repaired
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,C3),C3) Expired COEs,E,2,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,C3),C3) Expired COEs,Total,27,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,(C),(C) Adjustments,A,4,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,(C),(C) Adjustments,B,16,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,(C),(C) Adjustments,C,-1005,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,(C),(C) Adjustments,D,2,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,(C),(C) Adjustments,E,1023,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,(C),(C) Adjustments,Total,40,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,D1),D1) Total Quota for Nov 2020 to Jan 2021 Bidding Exercises (A + B + C),A,4490,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,D1),D1) Total Quota for Nov 2020 to Jan 2021 Bidding Exercises (A + B + C),B,4748,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,D1),D1) Total Quota for Nov 2020 to Jan 2021 Bidding Exercises (A + B + C),C,1735,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,D1),D1) Total Quota for Nov 2020 to Jan 2021 Bidding Exercises (A + B + C),D,2310,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,D1),D1) Total Quota for Nov 2020 to Jan 2021 Bidding Exercises (A + B + C),E,2339,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,D1),D1) Total Quota for Nov 2020 to Jan 2021 Bidding Exercises (A + B + C),Total,15622,False
